kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 8 32 0 0 0 0 0 0 0 
_1.ptx 98 : 8 56 0 0 0 0 0 0 0 
_1.ptx 99 : 8 24 0 0 0 0 0 0 1 
_1.ptx 101 : 4 716 0 0 0 0 0 0 0 
_1.ptx 102 : 4 16 0 0 0 0 0 0 0 
_1.ptx 103 : 4 76 0 0 0 0 0 0 0 
_1.ptx 104 : 4 52 0 0 0 0 0 0 0 
_1.ptx 105 : 4 20 0 0 0 1 1 0 0 
_1.ptx 108 : 8 48 0 0 0 0 0 0 0 
_1.ptx 28 : 8 48 0 0 0 0 0 0 0 
_1.ptx 29 : 8 56 0 0 0 0 0 0 0 
_1.ptx 30 : 8 2600 128 0 0 0 0 0 0 
_1.ptx 31 : 8 2600 0 0 0 0 0 0 0 
_1.ptx 32 : 8 2592 0 0 0 0 0 0 0 
_1.ptx 33 : 8 56 0 0 0 0 0 0 0 
_1.ptx 34 : 8 88 0 0 0 0 0 0 0 
_1.ptx 35 : 8 56 0 0 0 0 0 0 0 
_1.ptx 36 : 8 88 0 0 0 0 0 0 0 
_1.ptx 37 : 8 56 0 0 0 0 0 0 0 
_1.ptx 38 : 8 48 0 0 0 0 0 0 0 
_1.ptx 39 : 8 40 32 0 0 0 0 0 0 
_1.ptx 40 : 8 48 0 0 0 0 0 0 0 
_1.ptx 41 : 8 40 32 0 0 0 0 0 0 
_1.ptx 48 : 8 2584 0 0 0 0 0 0 0 
_1.ptx 49 : 8 56 0 0 0 0 0 0 0 
_1.ptx 50 : 8 56 0 0 0 0 0 0 0 
_1.ptx 51 : 8 152 0 0 0 0 0 0 0 
_1.ptx 52 : 8 104 0 0 0 0 0 0 0 
_1.ptx 53 : 8 2616 128 0 0 1 1 0 0 
_1.ptx 54 : 8 32 0 0 0 0 0 0 0 
_1.ptx 55 : 8 56 0 0 0 0 0 0 0 
_1.ptx 56 : 8 96 0 0 0 0 0 0 0 
_1.ptx 57 : 8 152 0 0 0 0 0 0 0 
_1.ptx 58 : 8 104 0 0 0 0 0 0 0 
_1.ptx 59 : 8 2208 0 0 0 1 1 0 0 
_1.ptx 60 : 8 32 0 0 0 0 0 0 0 
_1.ptx 61 : 8 56 0 0 0 0 0 0 0 
_1.ptx 62 : 8 96 0 0 0 0 0 0 0 
_1.ptx 63 : 8 152 0 0 0 0 0 0 0 
_1.ptx 64 : 8 104 0 0 0 0 0 0 0 
_1.ptx 65 : 8 1800 0 0 0 1 1 0 0 
_1.ptx 66 : 8 32 0 0 0 0 0 0 0 
_1.ptx 67 : 8 56 0 0 0 0 0 0 0 
_1.ptx 68 : 8 96 0 0 0 0 0 0 0 
_1.ptx 69 : 8 152 0 0 0 0 0 0 0 
_1.ptx 70 : 8 104 0 0 0 0 0 0 0 
_1.ptx 71 : 8 1424 0 0 0 1 1 0 0 
_1.ptx 72 : 8 32 0 0 0 0 0 0 0 
_1.ptx 73 : 8 56 0 0 0 0 0 0 0 
_1.ptx 74 : 8 152 0 0 0 0 0 0 0 
_1.ptx 75 : 8 104 0 0 0 0 0 0 0 
_1.ptx 76 : 8 2592 128 0 0 1 1 0 0 
_1.ptx 77 : 8 32 0 0 0 0 0 0 0 
_1.ptx 78 : 8 56 0 0 0 0 0 0 0 
_1.ptx 79 : 8 56 0 0 0 0 0 0 0 
_1.ptx 80 : 8 104 0 0 0 0 0 0 0 
_1.ptx 81 : 8 56 0 0 0 0 0 0 0 
_1.ptx 82 : 8 104 0 0 0 0 0 0 0 
_1.ptx 83 : 8 152 0 0 0 0 0 0 0 
_1.ptx 84 : 8 104 0 0 0 0 0 0 0 
_1.ptx 85 : 8 2544 128 0 0 1 1 0 0 
_1.ptx 86 : 8 48 0 0 0 0 0 0 0 
_1.ptx 88 : 8 176 0 0 0 0 0 0 0 
_1.ptx 90 : 8 80 0 0 0 0 0 0 0 
